feature	249_1813_B	291_37_C	294_1781_A	299_1781_A	310_37_C	318_1813_B
WBGene00050622	0	0	0	0	0	0
WBGene00050623	0	0	0	0	0	0
WBGene00050624	0	0	0	0	0	0
WBGene00050625	0	0	0	0	0	0
WBGene00050626	0	0	0	0	0	0
WBGene00050627	0	0	0	0	0	0
WBGene00050628	0	0	0	0	0	0
WBGene00050629	0	0	0	0	0	0
WBGene00050630	0	0	0	0	0	0
WBGene00050631	0	0	0	0	0	0
WBGene00050632	0	0	0	0	0	0
WBGene00050633	0	0	0	0	0	0
WBGene00050634	0	0	0	0	0	0
WBGene00050635	1	0	0	0	0	0
WBGene00050636	0	0	0	0	0	0
WBGene00050637	0	0	0	0	0	0
WBGene00050638	0	0	0	0	0	0
WBGene00050639	0	0	0	0	0	0
WBGene00050640	0	0	0	0	0	0
WBGene00050641	0	0	0	0	0	0
WBGene00050642	0	0	0	0	0	0
WBGene00050643	0	0	0	0	0	0
WBGene00050644	0	0	0	0	0	0
WBGene00050645	0	0	0	0	0	0
WBGene00050646	0	0	0	0	0	0
WBGene00050647	0	0	0	0	0	0
WBGene00050648	0	0	0	0	0	0
WBGene00050649	0	0	0	0	0	0
WBGene00050650	0	0	0	0	0	0
WBGene00050651	0	0	0	0	0	0
WBGene00050652	0	0	0	0	0	0
WBGene00050653	0	0	0	1	0	0
WBGene00050654	0	0	0	0	0	0
WBGene00050655	0	0	0	0	0	0
WBGene00050656	0	0	0	0	0	0
WBGene00050657	0	0	0	0	0	0
WBGene00050658	0	0	0	0	0	0
WBGene00050659	0	0	0	0	0	0
WBGene00050660	0	0	0	0	0	0
WBGene00050661	0	0	0	0	0	0
WBGene00050662	0	0	0	0	0	0
WBGene00050663	0	0	0	0	0	0
WBGene00050664	0	0	0	0	0	0
WBGene00050665	0	0	0	0	0	0
WBGene00050666	0	0	0	0	0	0
WBGene00050667	0	0	0	0	0	0
WBGene00050668	0	0	0	0	0	0
WBGene00050669	0	0	0	0	0	0
WBGene00050670	0	0	0	0	0	0
WBGene00050671	0	0	0	0	0	0
WBGene00050672	1	1	0	0	1	0
WBGene00050673	0	0	0	0	0	0
WBGene00050674	0	0	0	0	0	0
WBGene00050675	0	0	0	0	0	0
WBGene00050676	0	0	0	0	0	0
WBGene00050677	0	0	0	0	0	0
WBGene00050678	0	0	0	0	0	0
WBGene00050679	0	0	0	0	0	0
WBGene00050680	0	0	0	0	0	0
WBGene00050681	0	0	0	1	0	0
WBGene00050682	0	0	0	0	0	0
WBGene00050683	0	0	0	0	0	0
WBGene00050684	0	0	0	0	0	0
WBGene00050685	0	0	0	0	0	0
WBGene00050686	0	0	0	0	0	0
WBGene00050687	0	0	0	0	0	0
WBGene00050688	0	0	0	0	0	0
WBGene00050689	0	0	0	0	0	0
WBGene00050690	0	0	0	0	0	0
WBGene00050691	0	0	0	0	0	0
WBGene00050692	0	0	0	0	0	0
WBGene00050693	0	0	0	0	0	0
WBGene00050694	0	0	0	0	0	0
WBGene00050695	0	0	0	0	0	0
WBGene00050696	0	0	0	0	0	0
WBGene00050697	0	0	0	0	0	0
WBGene00050698	0	0	0	0	0	0
WBGene00050699	0	0	0	0	0	0
WBGene00050700	0	0	0	0	0	0
WBGene00050701	0	0	0	0	0	0
WBGene00050702	0	0	0	0	0	0
WBGene00050703	0	0	0	0	0	0
WBGene00050704	0	0	0	0	0	0
WBGene00050705	0	0	0	0	0	0
WBGene00050706	0	0	0	0	0	0
WBGene00050707	0	0	0	0	0	0
WBGene00050708	0	0	0	0	0	0
WBGene00050709	0	0	0	0	0	0
WBGene00050710	0	0	0	0	0	0
WBGene00050711	0	0	0	0	0	0
WBGene00050712	0	0	0	0	0	0
WBGene00050713	0	0	0	0	0	0
WBGene00050714	0	0	0	0	0	0
WBGene00050715	0	0	0	0	0	0
WBGene00050716	0	0	0	0	0	0
WBGene00050717	0	0	0	0	0	0
WBGene00050718	0	0	0	0	0	0
WBGene00050719	0	0	0	0	0	0
WBGene00050720	0	0	0	0	0	0
WBGene00050721	0	0	0	0	0	0
WBGene00050722	0	0	0	0	0	0
WBGene00050723	0	0	0	0	0	0
WBGene00050724	0	0	0	0	0	0
WBGene00050725	0	0	0	0	0	0
WBGene00050726	0	0	0	0	0	0
WBGene00050727	0	0	0	0	0	0
WBGene00050728	0	0	0	0	0	0
WBGene00050729	0	0	0	0	0	0
WBGene00050730	0	0	0	0	0	0
WBGene00050731	0	0	0	0	0	0
WBGene00050732	0	0	0	0	0	0
WBGene00050733	1	0	0	0	0	0
WBGene00050734	0	0	0	0	0	0
WBGene00050735	0	0	0	0	0	0
WBGene00050736	0	0	0	0	0	0
WBGene00050737	0	0	0	0	0	0
WBGene00050738	0	0	0	0	0	0
WBGene00050739	0	0	0	0	0	0
WBGene00050740	0	0	0	0	0	0
WBGene00050741	0	0	0	0	0	0
WBGene00050742	0	0	0	0	0	0
WBGene00050743	0	0	0	0	0	0
WBGene00050744	0	0	2	0	0	0
WBGene00050745	0	0	0	0	0	0
WBGene00050746	0	0	0	0	0	0
WBGene00050747	0	0	0	0	0	0
WBGene00050748	0	0	0	0	0	0
WBGene00050749	0	0	0	0	0	0
WBGene00050750	0	0	0	0	0	0
WBGene00050751	0	0	0	0	0	0
WBGene00050752	0	0	0	0	0	0
WBGene00050753	0	0	0	0	0	0
WBGene00050754	0	0	0	0	0	0
WBGene00050755	0	0	0	0	0	0
WBGene00050756	0	0	0	0	0	0
WBGene00050757	0	0	0	0	0	0
WBGene00050758	0	0	0	0	0	0
WBGene00050759	0	0	0	0	0	0
WBGene00050760	0	0	0	0	0	0
WBGene00050761	0	0	0	0	0	0
WBGene00050762	0	0	0	0	0	0
WBGene00050763	0	0	0	0	0	0
WBGene00050764	0	0	0	0	0	0
WBGene00050765	0	0	0	0	0	0
WBGene00050766	0	0	0	0	0	0
WBGene00050767	0	0	0	0	0	0
WBGene00050768	0	0	0	0	0	0
WBGene00050769	0	0	0	0	0	0
WBGene00050770	0	0	0	0	0	0
WBGene00050771	0	0	0	0	0	0
WBGene00050772	0	0	0	0	1	0
WBGene00050773	0	0	0	1	0	0
WBGene00050774	0	0	0	0	0	0
WBGene00050775	0	0	0	0	0	0
WBGene00050776	0	0	0	0	0	0
WBGene00050777	0	0	0	0	0	0
WBGene00050778	0	0	0	0	0	0
WBGene00050779	0	0	0	0	0	0
WBGene00050780	0	0	0	0	0	0
WBGene00050781	0	0	0	0	0	0
WBGene00050782	0	0	0	0	0	0
WBGene00050783	0	0	0	0	0	0
WBGene00050784	0	0	0	0	0	0
WBGene00050785	0	0	0	0	0	0
WBGene00050786	0	0	0	0	0	0
WBGene00050787	0	0	0	0	0	0
WBGene00050788	0	0	0	0	0	0
WBGene00050789	0	0	0	0	0	0
WBGene00050790	0	0	0	0	0	0
WBGene00050791	0	0	0	0	0	0
WBGene00050792	0	0	0	0	0	0
WBGene00050793	0	0	0	0	0	0
WBGene00050794	0	0	0	0	0	0
WBGene00050795	0	0	0	0	0	0
WBGene00050796	0	0	0	0	0	0
WBGene00050797	0	0	0	0	0	0
WBGene00050798	0	0	0	0	0	0
WBGene00050799	0	0	0	0	0	0
WBGene00050800	0	0	0	0	0	0
WBGene00050801	0	0	0	0	0	0
WBGene00050802	0	0	0	0	0	0
WBGene00050803	0	0	0	0	0	0
WBGene00050804	0	0	0	0	0	0
WBGene00050805	0	0	0	0	0	0
WBGene00050806	0	0	0	0	0	0
WBGene00050807	0	0	0	0	0	0
WBGene00050808	0	0	0	0	0	0
WBGene00050809	0	0	0	0	0	0
WBGene00050810	0	0	0	0	0	0
WBGene00050811	0	0	0	0	0	0
WBGene00050812	0	0	0	0	0	0
WBGene00050813	0	0	0	0	0	0
WBGene00050814	0	0	0	0	0	0
WBGene00050815	0	0	0	0	0	0
WBGene00050816	0	0	0	0	0	0
WBGene00050817	0	0	0	0	0	0
WBGene00050818	0	0	0	0	0	0
WBGene00050819	0	0	0	0	0	0
WBGene00050820	0	0	0	0	0	0
WBGene00050821	0	0	0	0	0	0
WBGene00050822	0	0	0	0	0	0
WBGene00050823	0	0	0	0	0	0
WBGene00050824	0	0	0	0	0	0
WBGene00050825	0	0	0	0	0	0
WBGene00050826	0	0	0	0	0	0
WBGene00050827	0	0	0	0	0	0
WBGene00050828	0	0	0	0	0	0
WBGene00050829	0	0	0	0	0	0
WBGene00050830	0	0	0	0	0	0
WBGene00050831	0	0	0	0	0	0
WBGene00050832	0	0	0	0	0	0
WBGene00050833	0	0	0	0	0	0
WBGene00050834	0	0	0	0	0	0
WBGene00050835	0	0	0	0	0	0
WBGene00050836	0	0	0	0	0	0
WBGene00050837	0	0	0	0	0	0
WBGene00050838	0	0	0	0	0	0
WBGene00050839	0	0	0	0	0	0
WBGene00050840	0	0	0	1	0	0
WBGene00050841	1	0	0	2	0	0
WBGene00050842	0	0	0	0	0	0
WBGene00050843	0	0	0	0	0	0
WBGene00050844	0	0	0	0	0	0
WBGene00050845	0	0	0	0	0	0
WBGene00050846	0	0	0	0	0	0
WBGene00050847	0	0	0	0	0	0
WBGene00050848	0	0	0	0	0	0
WBGene00050849	0	0	0	0	0	0
WBGene00050850	0	0	0	0	0	0
WBGene00050851	0	0	0	0	0	0
WBGene00050852	0	0	0	0	0	0
WBGene00050853	0	0	0	0	0	0
WBGene00050854	0	0	0	1	0	0
WBGene00050855	0	0	0	0	0	0
WBGene00050856	0	0	0	0	0	0
WBGene00050857	0	0	0	0	0	0
WBGene00050858	0	0	0	0	0	0
WBGene00050859	0	0	0	0	1	1
WBGene00050860	0	0	0	0	0	0
WBGene00050861	0	0	0	0	0	0
WBGene00050862	0	0	0	0	0	0
WBGene00050863	0	0	0	0	0	0
WBGene00050864	0	0	0	0	0	0
WBGene00050865	0	0	0	0	0	0
WBGene00050866	0	0	0	0	0	0
WBGene00050867	0	0	0	0	0	0
WBGene00050868	0	0	0	0	0	0
WBGene00050869	0	0	0	0	0	0
WBGene00050870	0	0	1	0	0	0
WBGene00050871	1	0	0	0	0	0
WBGene00050873	0	0	0	0	0	0
WBGene00050874	0	0	0	0	0	0
WBGene00050875	14	0	1	1	2	0
WBGene00050878	0	0	3	2	0	1
WBGene00050879	0	0	2	3	0	12
WBGene00050880	2	2	1	1	3	2
WBGene00050881	2	5	4	4	3	16
WBGene00050883	0	0	0	0	0	0
WBGene00050884	10	28	15	10	20	19
WBGene00050885	125	238	169	153	207	184
WBGene00050889	1	1	0	1	1	1
WBGene00050890	1	2	0	4	2	2
WBGene00050891	0	0	0	0	0	1
WBGene00050892	0	0	0	0	0	1
WBGene00050893	0	0	0	0	0	0
WBGene00050894	0	0	0	0	0	0
WBGene00050896	0	1	2	5	1	4
WBGene00050897	0	0	0	1	0	0
WBGene00050898	0	0	0	0	0	0
WBGene00050899	53	48	22	55	35	8
WBGene00050900	0	1	0	0	1	0
WBGene00050902	0	0	0	0	0	0
WBGene00050903	20	11	4	5	9	1
WBGene00050904	17	30	26	32	19	122
WBGene00050906	0	0	0	0	0	0
WBGene00050907	0	0	0	0	0	0
WBGene00050910	1	0	0	0	0	0
WBGene00050911	2	0	0	1	1	0
WBGene00050912	0	0	0	0	0	0
WBGene00050913	22	94	51	52	58	64
WBGene00050914	398	752	429	423	474	440
WBGene00050915	0	4	2	10	3	43
WBGene00050916	1	0	1	1	1	12
WBGene00050917	7	23	10	14	11	24
WBGene00050919	4	2	0	0	3	13
WBGene00050920	16	30	15	19	18	23
WBGene00050921	0	0	0	0	0	0
WBGene00050922	0	0	0	0	0	0
WBGene00050923	0	0	0	0	0	0
WBGene00050924	0	0	0	0	0	0
WBGene00050926	5	5	7	5	5	3
WBGene00050927	34	41	15	8	30	25
WBGene00050928	0	0	0	0	0	0
WBGene00050929	0	0	0	0	0	0
WBGene00050930	0	0	0	0	0	0
WBGene00050931	0	1	0	0	0	0
WBGene00050932	0	0	0	0	0	0
WBGene00050933	0	0	0	0	0	0
WBGene00050934	4	2	1	1	1	2
WBGene00050935	7	15	5	5	6	11
WBGene00050936	0	0	0	0	0	0
WBGene00050937	360	558	388	354	369	416
WBGene00050938	0	0	0	0	0	0
WBGene00050939	0	0	1	0	0	0
WBGene00050940	1	0	2	0	1	6
WBGene00050941	585	930	555	688	639	675
WBGene00050943	38	66	45	68	47	179
WBGene00050944	257	312	195	246	210	233
WBGene00050945	7	14	19	7	4	24
WBGene00050946	30	50	35	27	33	28
WBGene00050947	41	61	36	44	32	71
WBGene00050948	18	67	42	28	32	43
WBGene00050949	0	0	0	0	0	0
WBGene00050950	0	0	0	0	0	0
WBGene00050951	0	0	0	2	0	0
WBGene00050954	0	0	0	0	0	0
WBGene00050955	0	0	0	0	0	0
WBGene00050956	1	8	4	22	7	94
WBGene00050957	67	178	76	83	90	126
WBGene00050958	0	0	0	0	2	0
WBGene00050959	0	0	0	0	0	0
WBGene00050960	0	0	0	0	0	0
WBGene00050961	0	0	0	0	0	0
WBGene00050962	0	0	0	0	0	0
WBGene00050963	0	0	0	0	0	0
WBGene00050964	0	0	0	0	1	0
WBGene00050965	0	0	0	0	0	0
WBGene00050967	0	3	2	0	1	9
WBGene00050968	0	0	0	0	0	0
WBGene00050970	63	49	54	50	42	47
WBGene00050971	0	0	0	1	1	0
WBGene00050972	0	0	0	0	0	0
WBGene00050973	0	0	0	0	1	0
WBGene00050974	1	0	0	2	0	4
WBGene00050976	0	0	0	1	0	0
WBGene00050977	0	0	0	1	0	0
WBGene00077434	0	0	0	0	0	0
WBGene00077436	0	1	1	0	0	1
WBGene00077437	40	174	65	90	103	72
WBGene00077438	0	0	1	1	4	0
WBGene00077439	4	0	5	3	5	7
WBGene00077440	0	0	0	0	0	0
WBGene00077441	4	4	4	3	4	0
WBGene00077442	0	0	0	0	0	0
WBGene00077443	25	32	20	16	20	36
WBGene00077444	0	0	0	1	0	0
WBGene00077445	0	0	0	0	0	0
WBGene00077446	0	0	0	0	0	0
WBGene00077447	0	0	0	0	0	0
WBGene00077448	12	30	10	15	27	12
WBGene00077449	4	4	5	5	1	3
WBGene00077450	0	6	1	1	1	36
WBGene00077451	0	0	0	0	0	0
WBGene00077452	0	0	0	0	0	0
WBGene00077453	785	1259	780	804	809	982
WBGene00077454	0	0	0	0	0	0
WBGene00077455	0	0	0	0	0	0
WBGene00077456	0	0	0	0	0	0
WBGene00077457	344	395	373	335	334	348
WBGene00077459	1	0	1	0	0	0
WBGene00077460	0	0	0	0	0	0
WBGene00077461	0	0	0	0	0	0
WBGene00077462	1	0	1	0	0	5
WBGene00077463	0	0	0	0	0	0
WBGene00077464	0	0	0	0	0	0
WBGene00077465	0	0	0	0	0	0
WBGene00077466	0	0	0	0	0	0
WBGene00077467	0	0	0	0	0	0
WBGene00077468	0	0	0	0	0	0
WBGene00077469	0	0	0	0	0	0
WBGene00077470	0	0	0	0	0	0
WBGene00077471	0	0	0	0	0	0
WBGene00077472	0	0	0	0	0	0
WBGene00077473	0	0	0	0	0	0
WBGene00077474	0	0	0	0	0	0
WBGene00077475	0	0	0	0	0	0
WBGene00077476	0	0	0	0	0	0
WBGene00077477	0	0	0	0	0	0
WBGene00077478	0	0	0	0	0	0
WBGene00077479	0	0	0	0	0	0
WBGene00077480	0	0	0	0	0	0
WBGene00077481	0	0	0	0	0	0
WBGene00077482	0	0	0	0	0	0
WBGene00077483	0	0	0	0	0	0
WBGene00077484	0	0	0	0	0	0
WBGene00077485	0	0	0	0	0	0
WBGene00077486	0	0	0	0	0	0
WBGene00077487	0	0	0	0	0	0
WBGene00077488	0	0	1	0	0	0
WBGene00077489	1	0	1	0	1	0
WBGene00077490	17	2	11	16	8	6
WBGene00077491	2	9	0	1	5	9
WBGene00077492	0	0	0	0	0	0
WBGene00077493	0	0	0	0	0	0
WBGene00077494	0	0	0	0	0	0
WBGene00077495	1	1	1	0	0	0
WBGene00077496	0	0	0	0	0	0
WBGene00077497	1	3	3	2	3	5
WBGene00077498	0	1	0	0	0	0
WBGene00077499	0	0	1	0	0	0
WBGene00077500	900	1242	891	785	850	924
WBGene00077501	0	0	0	1	0	2
WBGene00077502	0	0	0	0	0	0
WBGene00077503	0	2	0	0	1	3
WBGene00077504	0	0	0	0	0	0
WBGene00077506	0	0	0	0	0	0
WBGene00077508	11	12	6	8	7	3
WBGene00077510	0	0	0	0	0	0
WBGene00077514	0	0	0	1	0	2
WBGene00077515	0	0	0	0	0	0
WBGene00077516	0	0	0	0	0	0
WBGene00077517	0	0	0	0	0	0
WBGene00077519	1	5	5	10	2	65
WBGene00077520	2	4	0	0	0	4
WBGene00077521	20	25	13	21	20	19
WBGene00077522	0	0	0	0	0	0
WBGene00077523	0	1	0	1	0	0
WBGene00077524	0	0	0	0	0	0
WBGene00077525	89	107	47	50	58	58
WBGene00077526	1014	1755	884	1087	1157	1043
WBGene00077527	0	0	0	0	0	0
WBGene00077531	25	9	14	8	10	5
WBGene00077534	0	0	0	0	0	0
WBGene00077535	0	1	1	0	3	0
WBGene00077536	2	1	4	0	1	3
WBGene00077537	120	219	123	105	119	102
WBGene00077538	0	1	0	1	0	3
WBGene00077539	6	26	12	9	20	3
WBGene00077543	267	407	250	278	290	291
WBGene00077546	1	0	1	1	1	0
WBGene00077548	2	1	2	0	0	21
WBGene00077549	1	2	3	4	5	0
WBGene00077551	0	0	0	0	0	0
WBGene00077552	2	1	0	1	0	1
WBGene00077553	7	10	8	11	16	4
WBGene00077555	0	0	0	0	0	0
WBGene00077556	0	0	0	0	1	0
WBGene00077557	1	2	0	1	4	3
WBGene00077558	17	74	17	11	26	9
WBGene00077559	50	82	46	49	65	68
WBGene00077561	0	0	1	0	0	0
WBGene00077562	0	0	0	0	0	1
WBGene00077563	1	0	4	2	1	23
WBGene00077564	0	3	6	1	5	16
WBGene00077565	0	0	0	0	0	0
WBGene00077566	0	0	0	0	1	0
WBGene00077567	0	0	0	0	0	0
WBGene00077568	17	12	5	10	4	13
WBGene00077569	1	3	1	3	1	26
WBGene00077570	4	2	4	2	2	2
WBGene00077571	0	0	0	0	0	0
WBGene00077572	0	0	0	2	0	0
WBGene00077573	0	0	1	2	1	3
WBGene00077574	0	3	0	0	2	1
WBGene00077575	0	0	0	0	0	0
WBGene00077576	0	0	0	0	1	4
WBGene00077577	1	0	0	1	0	0
WBGene00077579	0	1	0	0	1	7
WBGene00077580	0	0	0	0	0	0
WBGene00077581	1	0	0	0	0	0
WBGene00077582	0	2	0	0	0	1
WBGene00077583	0	0	0	0	0	0
WBGene00077584	0	0	0	0	1	0
WBGene00077585	0	2	0	0	0	1
WBGene00077586	0	0	0	0	0	0
WBGene00077588	0	0	0	0	0	0
WBGene00077589	0	0	0	0	0	0
WBGene00077590	0	0	0	0	0	0
WBGene00077592	0	0	0	0	0	0
WBGene00077593	95	147	65	41	67	4
WBGene00077594	26	45	19	18	28	20
WBGene00077595	0	0	0	0	0	0
WBGene00077596	0	0	0	0	0	0
WBGene00077597	0	0	0	0	0	0
WBGene00077598	0	0	0	0	0	0
WBGene00077599	0	4	1	2	2	4
WBGene00077600	0	0	0	0	0	0
WBGene00077601	0	0	0	0	0	0
WBGene00077602	0	0	0	0	0	0
WBGene00077603	0	0	0	0	0	1
WBGene00077604	0	0	0	0	0	0
WBGene00077605	0	0	0	0	1	0
WBGene00077606	0	1	0	0	0	0
WBGene00077607	19	17	14	10	18	18
WBGene00077608	0	1	0	0	0	0
WBGene00077609	0	0	0	0	0	0
WBGene00077610	0	0	0	0	0	0
WBGene00077611	0	0	0	0	0	0
WBGene00077612	0	0	0	0	0	0
WBGene00077613	0	0	0	0	1	0
WBGene00077614	0	0	0	0	0	0
WBGene00077615	1	0	0	0	1	0
WBGene00077616	1	1	0	0	0	1
WBGene00077617	0	0	0	0	0	0
WBGene00077618	0	0	0	0	0	0
WBGene00077619	0	0	0	0	0	0
WBGene00077620	0	0	0	0	0	0
WBGene00077621	0	0	0	0	1	0
WBGene00077622	1	4	0	0	1	0
WBGene00077624	0	0	0	0	0	0
WBGene00077625	0	0	0	0	0	0
WBGene00077626	0	0	0	0	0	0
WBGene00077627	0	0	0	0	0	0
WBGene00077629	0	0	0	1	1	1
WBGene00077630	0	0	0	0	0	0
WBGene00077631	0	0	0	0	0	0
WBGene00077632	0	0	0	0	0	0
WBGene00077633	0	0	0	0	0	0
WBGene00077634	0	0	0	0	0	0
WBGene00077635	1	0	0	0	0	0
WBGene00077636	130	91	98	130	130	171
WBGene00077637	0	0	0	0	0	0
WBGene00077638	0	0	0	0	0	0
WBGene00077640	0	0	0	0	0	1
WBGene00077641	0	0	0	0	0	0
WBGene00077642	0	0	0	0	0	0
WBGene00077643	289	372	287	310	264	295
WBGene00077644	0	0	0	0	0	0
WBGene00077646	0	0	0	0	0	0
WBGene00077647	0	0	0	0	0	0
WBGene00077648	0	0	0	0	0	0
WBGene00077649	0	0	0	0	0	0
WBGene00077650	0	0	0	0	0	0
WBGene00077651	0	0	0	0	0	0
WBGene00077652	1	1	0	1	0	3
WBGene00077653	8	13	16	12	12	10
WBGene00077654	0	0	0	0	0	0
WBGene00077655	0	0	0	0	0	0
WBGene00077656	0	0	0	0	0	0
WBGene00077657	0	0	0	0	0	0
WBGene00077658	546	677	489	533	575	599
WBGene00077659	0	0	0	0	0	0
WBGene00077660	0	1	1	0	0	0
WBGene00077662	0	0	2	1	1	0
WBGene00077663	3	4	2	1	3	0
WBGene00077664	1	4	2	1	1	0
WBGene00077666	0	1	0	0	2	0
WBGene00077667	0	0	0	0	0	0
WBGene00077669	8	2	4	3	1	0
WBGene00077670	8	3	0	4	2	1
WBGene00077671	0	0	0	0	0	0
WBGene00077673	0	1	0	0	0	8
WBGene00077674	0	4	0	2	0	0
WBGene00077679	0	1	0	0	0	0
WBGene00077680	0	2	2	2	1	1
WBGene00077681	1	1	0	2	0	0
WBGene00077682	0	0	0	5	0	9
WBGene00077684	12	14	11	11	10	17
WBGene00077685	1	3	3	3	3	36
WBGene00077686	0	0	0	0	0	0
WBGene00077687	4	4	5	6	5	4
WBGene00077688	0	0	0	0	0	0
WBGene00077689	4	7	7	1	6	5
WBGene00077690	102	181	102	152	168	183
WBGene00077691	0	0	0	0	0	2
WBGene00077692	0	7	12	21	9	17
WBGene00077693	60	118	56	81	79	144
WBGene00077694	0	0	0	0	0	0
WBGene00077695	0	0	0	0	0	0
WBGene00077696	0	1	0	0	1	11
WBGene00077697	21	7	0	3	12	2
WBGene00077698	19	7	3	3	5	2
WBGene00077699	1	0	3	2	1	12
WBGene00077701	81	122	132	171	109	562
WBGene00077703	2	2	0	0	0	0
WBGene00077704	1	0	0	1	1	0
WBGene00077705	0	1	0	0	0	0
WBGene00077706	0	0	1	1	1	1
WBGene00077707	0	0	0	0	0	0
WBGene00077708	0	0	0	0	1	0
WBGene00077709	0	0	0	0	0	0
WBGene00077712	41	37	40	33	49	62
WBGene00077714	7	8	6	3	2	18
WBGene00077715	0	1	1	0	0	0
WBGene00077716	0	0	0	0	0	0
WBGene00077717	0	0	0	0	0	0
WBGene00077718	0	0	0	0	0	0
WBGene00077719	0	0	0	1	0	0
WBGene00077720	0	0	0	0	0	0
WBGene00077721	0	0	0	0	0	0
WBGene00077722	0	0	0	0	0	0
WBGene00077723	0	0	0	0	0	0
WBGene00077724	0	0	0	0	0	0
WBGene00077725	2	1	0	1	0	2
WBGene00077726	0	0	0	0	0	0
WBGene00077727	0	0	0	0	0	0
WBGene00077728	0	0	0	0	0	0
WBGene00077732	5886	4478	5756	5222	4932	5634
WBGene00077750	1	0	0	0	0	3
WBGene00077751	0	6	4	6	6	9
WBGene00077752	4	4	0	2	1	4
WBGene00077753	0	0	1	0	0	0
WBGene00077754	0	0	0	0	0	0
WBGene00077755	0	0	0	0	0	0
WBGene00077756	17	5	6	3	7	5
WBGene00077757	17	89	29	29	44	62
WBGene00077758	0	0	0	0	0	0
WBGene00077759	0	0	0	0	0	0
WBGene00077761	311	429	229	358	293	450
WBGene00077762	4	11	7	12	5	12
WBGene00077763	0	0	1	1	0	0
WBGene00077764	97	432	104	202	130	263
WBGene00077765	1	1	1	2	4	1
WBGene00077766	0	0	0	0	0	0
WBGene00077767	0	0	0	0	0	0
WBGene00077768	5	0	1	0	1	2
WBGene00077769	0	0	0	0	0	1
WBGene00077770	210	328	155	168	177	228
WBGene00077771	1859	2358	1759	2009	1959	2333
WBGene00077772	31	35	33	34	29	30
WBGene00077773	11	20	6	9	10	13
WBGene00077775	8	52	25	26	34	40
WBGene00077781	53	62	27	39	49	47
WBGene00077782	0	0	0	0	0	5
WBGene00077783	0	8	5	5	5	0
WBGene00077784	41	51	52	61	41	50
WBGene00077785	0	0	0	0	0	0
WBGene00077786	8	7	4	4	6	6
WBGene00077787	47	46	48	50	37	42
WBGene00077788	0	0	0	0	0	0
WBGene00077789	0	0	0	0	0	0
WBGene00086546	1555	1568	1490	1474	1477	1801
WBGene00086551	1207	1676	1159	1191	1299	1231
WBGene00086552	0	0	0	0	0	0
WBGene00086553	0	1	0	0	0	1
WBGene00086554	1	9	10	9	5	57
WBGene00086555	11	1	4	3	6	3
WBGene00086556	0	1	0	1	0	0
WBGene00086557	15	21	12	18	21	33
WBGene00086558	4	0	2	1	3	0
WBGene00086559	1	3	0	0	3	1
WBGene00086560	1	0	0	2	0	2
WBGene00086561	0	0	0	0	0	0
WBGene00086562	4	3	1	1	0	4
WBGene00086563	0	0	0	0	0	0
WBGene00086564	0	0	0	2	0	1
WBGene00086565	9	10	6	6	6	9
WBGene00086566	1137	1093	1000	1079	1051	1194
WBGene00086567	0	0	0	0	0	0
WBGene00086568	8	12	7	9	10	18
WBGene00086569	28	81	27	22	42	49
WBGene00119201	0	0	0	0	0	0
WBGene00119203	5	19	5	7	8	29
WBGene00119204	0	1	0	0	1	3
WBGene00138711	1	2	0	0	7	2
WBGene00138714	0	0	0	0	0	0
WBGene00138715	0	0	0	0	0	0
WBGene00138716	0	0	0	0	0	0
WBGene00138717	657	1000	650	751	698	672
WBGene00138719	0	0	0	0	0	1
WBGene00138720	464	717	420	387	500	461
WBGene00138721	10	3	1	2	3	7
WBGene00138724	2	2	4	1	2	5
WBGene00138725	0	0	0	0	0	0
WBGene00164968	36	61	48	59	65	64
WBGene00164969	0	0	1	0	2	1
WBGene00164971	1	2	1	0	0	0
WBGene00164972	2	0	0	0	4	0
WBGene00164973	2	4	4	6	3	6
WBGene00164974	0	0	1	0	2	0
WBGene00164983	13	22	7	11	21	17
WBGene00164985	90	139	62	63	101	180
WBGene00164986	5	2	2	4	2	7
WBGene00164991	0	0	0	0	0	0
WBGene00164992	0	0	0	0	0	0
WBGene00164993	0	0	0	0	0	0
WBGene00164994	0	0	0	0	0	0
WBGene00164995	0	0	0	0	0	0
WBGene00164996	0	0	0	0	0	0
WBGene00164997	0	0	0	0	0	0
WBGene00164998	0	0	0	0	0	0
WBGene00164999	0	0	0	0	0	0
WBGene00165000	0	0	0	0	0	0
WBGene00165001	0	0	0	0	0	0
WBGene00165002	0	0	0	0	0	0
WBGene00165003	0	0	0	0	0	0
WBGene00165004	0	0	0	0	0	0
WBGene00165005	0	0	0	0	0	0
WBGene00165006	0	0	0	0	0	0
WBGene00165007	2	0	0	0	1	0
WBGene00165009	0	0	0	0	0	0
WBGene00165010	0	0	0	0	0	0
WBGene00165011	0	0	0	0	0	0
WBGene00165012	0	0	0	0	0	0
WBGene00165013	0	0	0	0	0	0
WBGene00165014	0	0	0	0	0	0
WBGene00165015	0	0	0	0	0	0
WBGene00165016	0	0	0	0	0	0
WBGene00165017	0	0	0	0	0	0
WBGene00165018	0	0	0	0	0	0
WBGene00165019	0	0	0	0	0	0
WBGene00165020	0	0	0	0	0	0
WBGene00165021	0	0	0	0	0	0
WBGene00165022	0	0	0	0	0	0
WBGene00165023	0	0	0	0	0	0
